Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary ,Required_Education,Experience_Required(Years),Job_Openings(2024),Projected_Openings (2030),Remot_Work_Ratio(%),Automation_Risk(%),Location,Gender_Diversity(%)
"Producer, television/film/video",Manufacturing,Decreasing,Low," $77,192.80 ",Bachelor? Degree,5,8599,5317,6.09,89.44,Australia,68.48
Building surveyor,Transportation,Increasing,Low," $62,828.37 ",Bachelor? Degree,6,4099,6401,79.93,71.86,USA,29.77
Radio broadcast assistant,Retail,Decreasing,High," $51,791.67 ",PhD,1,8219,8073,84.11,13.02,Brazil,23.01
Lexicographer,Entertainment,Increasing,Low," $55,760.02 ",Associate Degree,12,503,1346,67.15,96.86,Australia,75.13
"Research officer, political party",Education,Decreasing,High," $59,454.94 ",High School,19,6704,5261,0.23,8.69,India,56.43
Educational psychologist,Finance,Increasing,Moderate," $42,488.01 ",Associate Degree,5,402,6340,51.41,83.34,USA,53.99
Comptroller,IT,Decreasing,High," $77,281.53 ",Master? Degree,5,2875,7619,18.72,2.01,Canada,60.24
"Lecturer, higher education",Manufacturing,Decreasing,High," $1,37,571.97 ",Master? Degree,9,1122,3444,69.87,86.68,China,64.01
Probation officer,Finance,Decreasing,High," $1,30,153.62 ",Bachelor? Degree,18,6479,5918,5.12,50.34,India,77.22
Science writer,Transportation,Decreasing,Moderate," $1,13,793.89 ",Master? Degree,16,7508,2627,63.25,76.79,USA,26.47
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Moderate," $1,07,858.12 ",Associate Degree,4,1568,2277,45.49,8.58,Australia,29.3
Exercise physiologist,Manufacturing,Decreasing,Moderate," $38,098.44 ",PhD,15,4561,9745,29.47,65,China,21.37
Sport and exercise psychologist,Transportation,Decreasing,Moderate," $34,634.36 ",High School,9,1445,8431,39.76,0.15,Canada,42.83
Careers information officer,IT,Increasing,Low," $44,616.29 ",Master? Degree,0,8759,1961,21.95,78.18,USA,65.01
Illustrator,Entertainment,Decreasing,Moderate," $1,09,252.44 ",Master? Degree,19,3532,2877,68.64,12.1,India,64.88
Medical illustrator,Retail,Decreasing,Moderate," $50,387.37 ",High School,7,9588,3110,54.35,78.2,China,54.6
Marine scientist,Healthcare,Increasing,Low," $62,145.09 ",Bachelor? Degree,20,908,5230,53.9,29.02,USA,67.75
Futures trader,Finance,Decreasing,Low," $65,680.54 ",Master? Degree,3,4224,8820,10.11,85.45,Canada,49.52
"Teacher, English as a foreign language",Manufacturing,Decreasing,Moderate," $68,860.07 ",Associate Degree,5,1268,4689,85.42,0.96,Brazil,45.28
Chief Marketing Officer,Education,Increasing,Low," $41,908.92 ",PhD,7,4748,4606,48.77,69.33,Germany,69.85
Geophysical data processor,Transportation,Decreasing,Moderate," $1,39,500.27 ",PhD,3,9702,8480,9.99,7.32,Brazil,63.4
"Nurse, learning disability",IT,Decreasing,High," $62,613.61 ",PhD,17,243,6694,77.06,88.97,UK,32.52
"Psychologist, occupational",Entertainment,Decreasing,Low," $1,20,206.90 ",Associate Degree,15,9481,2028,19.19,20.33,Australia,39.56
Garment/textile technologist,Manufacturing,Increasing,Low," $81,958.04 ",Bachelor? Degree,20,4340,5232,98.37,46.01,India,61.1
Editorial assistant,Education,Decreasing,Low," $71,644.15 ",High School,4,3045,1378,81.55,3.23,China,25.9
"Psychologist, forensic",IT,Decreasing,Low," $65,452.56 ",Bachelor? Degree,6,4803,5188,54.95,27.81,China,47.25
Information officer,Entertainment,Decreasing,High," $63,922.67 ",Associate Degree,8,3749,3871,23.78,45.19,India,27.49
Chiropractor,Retail,Increasing,High," $39,063.23 ",Master? Degree,16,7619,171,25.96,4.57,Germany,29.78
"Journalist, magazine",Transportation,Decreasing,Low," $87,747.13 ",Master? Degree,5,5541,8177,11.37,59.36,China,28
Corporate investment banker,Healthcare,Increasing,Moderate," $56,050.88 ",Master? Degree,12,9185,7504,15.08,44.12,USA,49.53
Transport planner,Finance,Increasing,Moderate," $43,050.93 ",PhD,4,3427,8781,12.68,55.56,Germany,72.34
Optometrist,Healthcare,Increasing,Moderate," $89,305.37 ",Associate Degree,0,1614,9361,88.12,67.51,UK,45.37
"Conservator, museum/gallery",Healthcare,Increasing,Moderate," $51,527.99 ",Master? Degree,20,7946,6972,77.38,99.61,UK,70.92
Public affairs consultant,IT,Increasing,Moderate," $73,645.29 ",Master? Degree,2,7217,9462,90.12,19.41,India,73.35
"Education officer, community",Retail,Increasing,Moderate," $32,140.99 ",High School,1,9634,8178,20.35,20.01,Germany,50.43
Purchasing manager,Transportation,Decreasing,Moderate," $66,231.58 ",PhD,15,5653,1325,34.42,89.8,Canada,38.19
"Secretary, company",Education,Decreasing,Low," $1,33,084.20 ",PhD,14,9564,4801,29.58,28.42,China,73.46
Commercial/residential surveyor,Healthcare,Decreasing,Low," $94,934.48 ",Bachelor? Degree,10,5678,7480,95.53,39.62,Australia,40.99
Chartered legal executive (England and Wales),Manufacturing,Decreasing,High," $1,39,024.13 ",High School,13,6436,1219,78.76,10.96,Brazil,25.5
Medical physicist,Retail,Increasing,Moderate," $83,524.45 ",Master? Degree,19,8799,9420,17.1,37.49,Brazil,22.31
"Psychologist, educational",Healthcare,Increasing,Low," $75,665.84 ",High School,1,6975,2558,63.71,78.49,UK,49.24
Sales executive,Education,Decreasing,Low," $1,44,257.70 ",PhD,4,6096,4151,54.2,10.86,China,74.59
"Surveyor, quantity",Manufacturing,Increasing,High," $1,23,017.67 ",PhD,1,2378,6460,79.2,41.47,Germany,26.5
Management consultant,IT,Increasing,High," $68,891.87 ",High School,3,9585,1503,61.87,90.19,India,37.78
Solicitor,Entertainment,Decreasing,Low," $1,15,281.07 ",Master? Degree,12,8567,8361,29.52,13.8,India,56.75
Patent examiner,Retail,Decreasing,High," $1,06,521.39 ",High School,16,6378,2712,7.23,38.35,Australia,24.4
Television floor manager,Transportation,Decreasing,Low," $95,073.76 ",Master? Degree,14,8923,3341,57.45,31.6,Canada,64.62
"Administrator, Civil Service",Finance,Increasing,High," $99,419.25 ",Bachelor? Degree,19,2537,7227,7.68,32.85,Canada,50.99
Building services engineer,Manufacturing,Decreasing,Low," $1,06,242.33 ",Bachelor? Degree,7,8411,6111,20.71,90,USA,56.66
Osteopath,Retail,Decreasing,High," $1,08,839.99 ",Master? Degree,11,8931,2724,66.68,8.43,China,29.22
Fashion designer,IT,Decreasing,High," $31,264.17 ",High School,6,3894,6101,50.28,22.59,Canada,31.9
Water quality scientist,Retail,Increasing,High," $1,20,788.88 ",Bachelor? Degree,12,5610,2951,4.67,19.99,USA,43.69
Environmental manager,Retail,Increasing,Low," $85,227.63 ",PhD,20,9148,2747,26.01,59.23,India,79.13
"Buyer, retail",Entertainment,Decreasing,Moderate," $60,342.53 ",PhD,8,1702,832,10.92,87.85,Australia,33.02
Energy engineer,Manufacturing,Decreasing,Low," $88,002.93 ",Master? Degree,19,2793,7768,71.61,25.62,Canada,51.03
Archaeologist,Healthcare,Increasing,High," $36,465.96 ",High School,9,4389,330,45.71,79.35,Brazil,67.86
"Psychotherapist, child",Manufacturing,Decreasing,Low," $48,004.97 ",Associate Degree,7,1550,1620,28.78,43.14,USA,59.43
Building control surveyor,Manufacturing,Decreasing,High," $62,623.89 ",Associate Degree,2,4898,6761,19.48,3.99,China,59.89
Naval architect,Transportation,Decreasing,Low," $35,935.22 ",PhD,10,3435,3299,7.44,66.13,Canada,52.06
"Engineer, drilling",Transportation,Decreasing,Low," $1,43,305.40 ",Bachelor? Degree,17,3774,6970,12.72,78.79,Australia,49.46
Occupational psychologist,Manufacturing,Increasing,High," $89,617.24 ",Associate Degree,15,6654,5831,34.17,77.19,Canada,28.27
Medical laboratory scientific officer,Healthcare,Decreasing,Low," $63,437.39 ",Associate Degree,16,6159,3467,48.27,52.23,UK,77.24
Academic librarian,Healthcare,Decreasing,Low," $40,729.43 ",Bachelor? Degree,13,1417,9601,83.49,57.12,Canada,55.18
"Radiographer, diagnostic",Entertainment,Increasing,High," $1,28,467.07 ",Bachelor? Degree,16,462,8424,44.83,65.12,USA,25.09
Colour technologist,Transportation,Increasing,Moderate," $1,09,565.66 ",PhD,0,8303,5377,40.31,33.34,China,58.37
Chartered certified accountant,IT,Increasing,Moderate," $83,906.18 ",Master? Degree,0,8130,2071,30.34,95.01,China,25.72
Actuary,Entertainment,Increasing,Moderate," $62,186.16 ",High School,19,182,8037,84.43,27.99,China,58.94
Plant breeder/geneticist,Education,Decreasing,High," $70,067.45 ",Master? Degree,20,946,8811,20.67,37.67,Germany,33.83
Barista,Entertainment,Increasing,High," $1,42,840.61 ",Associate Degree,11,5610,5451,9.41,20.33,Brazil,51.32
"Engineer, broadcasting (operations)",IT,Decreasing,Moderate," $80,480.13 ",Bachelor? Degree,0,2713,2476,25.81,76.13,UK,61.66
Financial risk analyst,Healthcare,Decreasing,Low," $1,19,977.32 ",Master? Degree,19,2077,6177,71.61,52.02,Australia,52.77
Forest/woodland manager,Finance,Decreasing,High," $1,05,233.70 ",High School,9,3848,2546,38.61,1.73,China,70.52
Sub,Finance,Decreasing,Low," $91,900.06 ",High School,10,8303,7436,35.09,5.35,China,52.42
"Librarian, academic",Finance,Increasing,Low," $90,159.08 ",High School,13,5472,1666,57.17,70.32,Brazil,24.85
Web designer,Education,Decreasing,Low," $1,44,317.34 ",Master? Degree,16,1551,1402,25.23,77.23,UK,71.83
Furniture designer,Transportation,Increasing,Moderate," $60,226.26 ",PhD,18,3136,7814,41.16,5.14,UK,32.81
Government social research officer,Transportation,Decreasing,High," $1,04,989.60 ",Associate Degree,0,840,3626,51.54,69.4,Australia,37.45
"Editor, magazine features",IT,Increasing,Low," $1,40,056.08 ",PhD,18,9516,7418,23.39,28.67,India,32.21
"Administrator, charities/voluntary organisations",Finance,Decreasing,High," $39,242.47 ",Bachelor? Degree,20,5488,8052,57.07,97.17,UK,52.57
Translator,Healthcare,Decreasing,Low," $1,06,460.52 ",Associate Degree,4,9502,3122,38.93,71.69,China,25.44
"Engineer, control and instrumentation",Manufacturing,Decreasing,Low," $37,715.93 ",High School,8,6880,7482,87.66,88.04,Brazil,74.54
Gaffer,Retail,Increasing,Low," $1,48,493.85 ",PhD,12,6687,6423,51.51,74.59,India,72.63
"Programmer, multimedia",Healthcare,Increasing,Moderate," $95,899.74 ",Master? Degree,2,8853,1145,87.91,52.17,UK,71.72
Industrial/product designer,Entertainment,Decreasing,High," $50,502.95 ",Associate Degree,13,2136,8218,51.21,86.25,Brazil,24.68
"Education officer, environmental",Transportation,Increasing,Moderate," $90,938.74 ",Associate Degree,0,8725,2503,96.23,24.49,UK,65.31
English as a second language teacher,Manufacturing,Decreasing,Moderate," $1,09,081.24 ",Master? Degree,10,7048,665,10.19,62.12,USA,46.52
"Surveyor, planning and development",Finance,Increasing,Moderate," $63,329.32 ",High School,14,163,7028,59.64,27.27,India,50.07
Civil Service administrator,Finance,Increasing,Low," $60,143.84 ",Bachelor? Degree,7,2753,4443,60.56,75.62,USA,71.89
Curator,Entertainment,Increasing,Moderate," $64,311.23 ",Master? Degree,9,6612,1252,97.37,5.69,USA,60.39
Community development worker,Retail,Increasing,Low," $84,371.74 ",PhD,17,9791,3402,43.32,73.19,USA,20.74
"Engineer, production",Transportation,Decreasing,Moderate," $93,673.03 ",High School,5,4477,6320,65.98,87.78,India,44.31
Geographical information systems officer,Finance,Decreasing,Moderate," $38,284.38 ",High School,8,1764,4955,15.24,24.72,Canada,47.89
"Solicitor, Scotland",Retail,Decreasing,Moderate," $87,186.36 ",Bachelor? Degree,8,6764,9989,72.65,30.35,UK,38.28
Veterinary surgeon,Entertainment,Decreasing,Low," $87,119.06 ",Master? Degree,18,1975,5948,22.05,29.9,UK,36.56
"Psychologist, sport and exercise",Education,Decreasing,Low," $89,727.55 ",Bachelor? Degree,12,7994,1472,83.5,5.68,China,47.18
IT consultant,Entertainment,Decreasing,Moderate," $1,35,276.07 ",Associate Degree,11,5621,6422,0.07,52.27,Australia,44.57
Print production planner,Education,Decreasing,High," $1,30,871.86 ",Master? Degree,7,2194,6379,96.14,50.45,Australia,50.35
Local government officer,IT,Increasing,Moderate," $1,33,453.93 ",Master? Degree,3,1352,3958,88.56,20.17,Brazil,66.22
Sports therapist,Healthcare,Decreasing,Low," $59,962.34 ",Associate Degree,5,7344,6858,63.59,83.58,Canada,79.74
Fine artist,Education,Increasing,Low," $62,975.11 ",Associate Degree,4,7938,6743,96.04,70.53,UK,71.29
Orthoptist,Healthcare,Decreasing,High," $56,611.30 ",Associate Degree,8,6166,4654,13.55,78.41,UK,22.96
"Pilot, airline",Transportation,Decreasing,High," $47,009.22 ",PhD,15,7291,4078,91.42,56.96,India,71.53
Geophysicist/field seismologist,Healthcare,Decreasing,Moderate," $1,03,627.60 ",High School,14,9490,6403,83.93,1.58,UK,48.68
Product designer,Entertainment,Increasing,High," $57,446.78 ",Bachelor? Degree,6,7121,7006,79.33,31.76,China,67.19
Land,Retail,Increasing,High," $1,05,924.77 ",Bachelor? Degree,18,5782,6496,11.38,87.26,UK,63.42
Horticultural therapist,Transportation,Increasing,Moderate," $64,465.34 ",High School,20,4924,3463,44.24,38.43,Australia,55.81
Chemical engineer,Transportation,Decreasing,Moderate," $30,176.11 ",High School,5,8442,1097,55.1,71.76,Australia,72.92
"Geneticist, molecular",Manufacturing,Decreasing,High," $31,319.64 ",Bachelor? Degree,11,9768,1504,8.82,1.53,USA,68.06
"Radiographer, therapeutic",Entertainment,Decreasing,High," $52,743.28 ",High School,1,3712,8358,84,3.38,Canada,78.1
"Administrator, sports",Retail,Decreasing,Low," $1,14,897.28 ",PhD,20,1822,7922,70.5,26.55,Canada,21.11
Insurance broker,Transportation,Increasing,High," $1,30,006.93 ",Associate Degree,19,5924,2728,86.45,4.25,Canada,79.65
"Nurse, children's",IT,Increasing,Low," $37,377.43 ",Bachelor? Degree,11,3736,3134,1.39,27.79,UK,61.1
"Loss adjuster, chartered",Manufacturing,Increasing,Moderate," $87,996.37 ",Associate Degree,5,5752,9402,5.14,76.24,China,66.7
Communications engineer,Entertainment,Decreasing,High," $1,22,827.52 ",Associate Degree,4,7785,2062,94.92,40.16,USA,29.01
Claims inspector/assessor,IT,Decreasing,High," $1,15,361.75 ",Bachelor? Degree,12,6132,4720,14.25,61.48,Brazil,44.99
Control and instrumentation engineer,Manufacturing,Increasing,Low," $1,41,057.77 ",Bachelor? Degree,2,6635,4993,2.82,82.71,UK,70.9
Chartered management accountant,Retail,Increasing,High," $1,09,968.03 ",Master? Degree,2,8808,8733,53.7,86.54,Germany,39.73
Product/process development scientist,IT,Decreasing,High," $1,38,569.51 ",Master? Degree,1,8865,1657,40.53,89,Australia,51.43
Music tutor,Manufacturing,Decreasing,Low," $95,835.78 ",High School,16,7600,2450,65.63,31.01,China,67.03
Licensed conveyancer,Finance,Increasing,Low," $84,039.09 ",Master? Degree,8,9100,2376,37.57,18.15,Germany,47.7
Market researcher,Healthcare,Decreasing,Moderate," $57,895.58 ",High School,5,9998,8252,13.47,85.76,Canada,43.45
"Nurse, mental health",Transportation,Decreasing,High," $1,42,762.08 ",Master? Degree,1,8229,6349,51.85,93.08,India,54.07
"Designer, furniture",Entertainment,Increasing,Moderate," $1,22,113.60 ",High School,11,6245,4348,14.15,22.4,China,44.38
Insurance underwriter,Entertainment,Decreasing,High," $68,358.54 ",High School,0,7185,3793,95.89,2.51,Canada,79.12
Dancer,Finance,Increasing,Moderate," $61,783.87 ",Bachelor? Degree,8,1899,8414,96.35,35.55,Australia,51.54
"Accountant, chartered public finance",Transportation,Decreasing,Low," $1,17,972.16 ",High School,4,7404,4154,92.94,88.68,Australia,42.17
Commercial art gallery manager,Finance,Decreasing,Moderate," $89,298.52 ",PhD,5,8660,1831,61.63,39.98,China,47.48
Video editor,Education,Increasing,Moderate," $60,255.27 ",High School,18,8610,8096,29.58,38.5,USA,20.15
Copy,Retail,Increasing,High," $1,25,485.78 ",High School,10,2592,9671,69.37,40.83,Canada,58.12
Advertising art director,Retail,Increasing,Low," $1,21,962.55 ",Associate Degree,6,1810,4668,22.01,51.72,UK,24.82
Financial controller,Entertainment,Decreasing,Low," $1,37,729.91 ",Master? Degree,8,1386,2113,99.59,16.08,China,66.32
Broadcast engineer,Education,Increasing,Low," $40,919.68 ",PhD,8,3749,5385,79.7,49.41,India,63.46
Brewing technologist,Healthcare,Decreasing,Moderate," $88,579.10 ",Associate Degree,19,5471,4938,95.14,83.98,UK,79.67
Production manager,Entertainment,Increasing,High," $1,33,299.74 ",Master? Degree,19,5775,8521,6.54,6.06,China,35.24
Arts administrator,Retail,Increasing,High," $1,29,656.68 ",PhD,12,384,9251,83.19,99.64,Germany,28.89
Publishing copy,Entertainment,Increasing,High," $1,47,093.01 ",Master? Degree,13,7149,2320,87.14,78.76,UK,36.59
"Psychotherapist, dance movement",Education,Decreasing,High," $95,782.63 ",Master? Degree,11,7259,6887,4.95,55.24,Australia,58
"Production designer, theatre/television/film",Transportation,Increasing,High," $35,941.01 ",PhD,20,5856,507,81.77,28.61,China,50.82
Corporate treasurer,IT,Increasing,Moderate," $1,32,470.30 ",Master? Degree,10,4787,7242,26.01,46.01,Brazil,37.86
Recruitment consultant,Retail,Increasing,Low," $36,985.54 ",Master? Degree,1,4226,3191,55.71,84.21,Germany,58.39
Forensic scientist,Healthcare,Increasing,High," $60,441.72 ",High School,13,5991,5977,66.6,52.13,Canada,35.59
"Designer, blown glass/stained glass",Healthcare,Increasing,Low," $1,13,522.12 ",Bachelor? Degree,11,2779,9271,11.12,18.75,UK,40.91
"Engineer, biomedical",Healthcare,Increasing,Low," $1,42,853.13 ",High School,13,8580,2366,31.3,56.65,UK,62.34
Financial adviser,Finance,Decreasing,Moderate," $1,08,840.11 ",Master? Degree,6,6884,6100,14.28,70.98,Brazil,22.39
"Editor, film/video",Finance,Increasing,Low," $1,41,030.62 ",High School,20,7887,8218,90.24,54.71,UK,75.88
Tourism officer,Retail,Increasing,High," $1,07,400.99 ",Bachelor? Degree,10,6761,1097,50.98,42.57,UK,59.52
Chief Technology Officer,Education,Increasing,Low," $1,46,814.23 ",PhD,18,7357,9785,75.88,63.65,UK,52.62
Theme park manager,Transportation,Decreasing,Moderate," $99,751.26 ",Bachelor? Degree,0,4739,910,9.5,77.88,Germany,62.03
Mudlogger,Entertainment,Decreasing,Low," $1,28,649.26 ",PhD,15,312,5065,76.15,99.66,USA,27.4
Haematologist,IT,Decreasing,High," $1,40,471.72 ",Bachelor? Degree,3,2442,1753,13.49,12.34,India,33.35
Software engineer,Healthcare,Decreasing,High," $1,02,875.23 ",PhD,5,6308,1454,36.35,1.74,Germany,23.51
Textile designer,Retail,Increasing,High," $45,452.45 ",Associate Degree,9,3145,454,31.08,0.71,China,30.02
Private music teacher,Education,Increasing,Moderate," $89,394.36 ",Associate Degree,8,301,6650,94.52,71.05,USA,76.64
Airline pilot,Education,Decreasing,High," $36,978.97 ",High School,7,3647,1516,9.49,53.25,Canada,66.86
Administrator,Education,Increasing,Moderate," $1,34,309.48 ",Master? Degree,4,9567,7128,55.89,25.67,Canada,59.38
Agricultural engineer,Healthcare,Increasing,Low," $1,42,403.04 ",Master? Degree,13,1407,7728,25.35,28.78,Australia,44.4
Regulatory affairs officer,IT,Decreasing,High," $1,43,398.14 ",High School,11,8832,1394,92.61,86.77,China,78.92
Passenger transport manager,IT,Increasing,Moderate," $74,077.95 ",Associate Degree,15,8911,794,73.17,51.69,India,57.73
Learning mentor,IT,Decreasing,Moderate," $59,683.17 ",High School,10,4141,5707,61.95,16.6,India,34.04
"Engineer, water",Education,Increasing,Low," $1,30,797.34 ",Associate Degree,4,3285,7537,31.41,65.82,Germany,49.81
Financial trader,Retail,Increasing,Moderate," $32,760.05 ",Bachelor? Degree,13,1862,616,11.03,24.63,Australia,27.11
Tree surgeon,Entertainment,Increasing,High," $74,953.03 ",Associate Degree,10,1515,8376,18.33,26,India,72.77
English as a foreign language teacher,IT,Decreasing,Moderate," $1,10,005.71 ",High School,17,3990,4331,63.39,50.07,Australia,36.44
Pathologist,IT,Increasing,High," $62,819.65 ",High School,5,6595,8386,50.3,29.14,UK,70.64
Homeopath,Manufacturing,Increasing,Low," $88,129.69 ",High School,18,1934,8353,83.09,27.2,China,22.62
Chief Executive Officer,Education,Increasing,Low," $49,817.09 ",High School,4,6794,6776,59.24,54.07,UK,35.88
Food technologist,IT,Increasing,Low," $56,336.88 ",High School,18,189,227,16.21,92.36,USA,26.58
Waste management officer,Healthcare,Increasing,Moderate," $39,960.84 ",High School,19,6111,4207,38.59,55.09,USA,63.45
"Accountant, chartered management",Manufacturing,Decreasing,Moderate," $59,963.97 ",High School,14,4412,4427,23.4,61.28,China,57.88
"Editor, commissioning",Retail,Decreasing,Moderate," $75,244.72 ",Master? Degree,2,6612,9102,7.58,10.7,Canada,69.66
"Engineer, electronics",Healthcare,Increasing,High," $1,10,397.48 ",Bachelor? Degree,14,1098,8507,49.55,28.88,Germany,74.5
"Designer, industrial/product",Healthcare,Increasing,Moderate," $1,17,327.72 ",Bachelor? Degree,19,887,6751,35,34.87,UK,56.67
Wellsite geologist,Transportation,Increasing,High," $45,783.06 ",Associate Degree,14,6418,7033,27.49,51.72,Australia,49.21
"Civil engineer, consulting",IT,Decreasing,High," $1,18,415.15 ",PhD,14,4685,7652,74.27,38.86,India,65.82
"Presenter, broadcasting",Manufacturing,Decreasing,Moderate," $74,561.97 ",High School,4,791,8069,44,75.36,Brazil,55.64
"Teacher, special educational needs",Healthcare,Decreasing,Moderate," $1,36,395.86 ",Associate Degree,3,2451,1032,73.89,73.48,Brazil,41.03
Event organiser,IT,Decreasing,Low," $71,471.60 ",Associate Degree,11,5989,6098,78.73,77.36,USA,60.39
Dealer,IT,Increasing,High," $1,42,178.94 ",High School,17,3145,5611,54.3,93.05,Brazil,34.17
Analytical chemist,Retail,Decreasing,Moderate," $1,12,188.74 ",PhD,5,3600,9769,65.2,45.26,China,40.66
Fast food restaurant manager,Education,Increasing,Moderate," $1,19,061.85 ",Bachelor? Degree,2,9546,7310,32.06,46.08,Brazil,32.74
Neurosurgeon,Education,Decreasing,Low," $60,691.06 ",Master? Degree,18,3604,9862,40.91,29.02,UK,53.06
Land/geomatics surveyor,Education,Decreasing,High," $1,01,233.52 ",Associate Degree,4,3447,2766,16.6,72.92,Germany,35.49
"Psychologist, clinical",Healthcare,Decreasing,Moderate," $99,035.54 ",Master? Degree,6,7817,8361,46.69,1.61,Brazil,43.88
Ship broker,IT,Increasing,Moderate," $1,31,929.37 ",Bachelor? Degree,18,9046,9792,65.01,77.27,Canada,28.85
"Chemist, analytical",Retail,Decreasing,High," $97,118.73 ",PhD,11,853,5904,54.79,22.28,China,30.82
"Copywriter, advertising",Manufacturing,Increasing,Low," $1,44,718.36 ",Associate Degree,5,6193,4531,91.87,44.71,India,58.05
Best boy,IT,Increasing,Moderate," $1,27,432.36 ",High School,14,5295,5006,63.13,43.91,China,66.78
Education administrator,Manufacturing,Decreasing,Moderate," $1,09,621.49 ",Bachelor? Degree,15,6155,1781,0.94,23.11,USA,57.13
"Pharmacist, community",IT,Increasing,High," $35,932.02 ",High School,4,1303,2342,42.63,5.29,USA,49.86
"Scientist, research (medical)",Education,Increasing,High," $1,16,352.97 ",PhD,10,4258,4701,67.65,31.56,UK,22.06
Financial manager,Entertainment,Increasing,Moderate," $1,11,033.75 ",Master? Degree,13,5282,7640,91.85,11.14,UK,76.27
Insurance risk surveyor,Education,Increasing,Moderate," $1,04,173.95 ",Bachelor? Degree,3,6984,5581,98.71,32.3,Canada,76.96
"Surveyor, building control",IT,Decreasing,High," $1,47,524.34 ",Bachelor? Degree,10,4950,3766,66.36,38.53,UK,76.44
Telecommunications researcher,Transportation,Decreasing,Low," $75,039.84 ",Bachelor? Degree,17,4907,6416,74.19,34.91,UK,49.65
Data processing manager,Manufacturing,Increasing,Low," $72,083.68 ",Associate Degree,5,5603,7676,43.74,10.99,Germany,59.97
"Horticulturist, amenity",Manufacturing,Decreasing,Moderate," $82,720.44 ",Bachelor? Degree,19,1671,3602,22.39,31.76,Germany,58.19
Lawyer,Finance,Decreasing,Low," $1,38,511.15 ",Bachelor? Degree,4,1985,2390,85.8,66.14,UK,32.47
"Administrator, arts",Retail,Increasing,Low," $1,21,855.60 ",PhD,0,6592,1648,96.22,57.68,UK,29.38
Pension scheme manager,Manufacturing,Increasing,Low," $79,476.01 ",Master? Degree,17,9112,1891,55.79,75.58,Brazil,40
Clinical molecular geneticist,Healthcare,Increasing,Low," $1,18,919.63 ",Bachelor? Degree,11,9372,5601,23.89,16.06,USA,39.65
Environmental education officer,IT,Increasing,Low," $73,698.80 ",PhD,5,4728,1236,32.8,23.53,USA,61.56
"Engineer, site",Education,Increasing,Low," $1,37,575.49 ",Bachelor? Degree,7,9378,2998,29.6,10.05,Brazil,70.32
"Therapist, sports",Manufacturing,Increasing,Moderate," $83,069.03 ",Associate Degree,18,391,208,91.12,22.2,UK,36.54
Operational researcher,Manufacturing,Increasing,Low," $95,366.41 ",Master? Degree,12,292,6344,96.37,86.86,India,25.52
Barrister's clerk,IT,Increasing,Low," $37,854.07 ",PhD,14,5114,9427,54.63,8.6,India,23.72
"Restaurant manager, fast food",Entertainment,Increasing,High," $1,49,210.87 ",High School,16,6670,4616,58.55,17.67,India,25.32
Hydrographic surveyor,Entertainment,Increasing,Moderate," $1,18,259.44 ",Associate Degree,0,3036,532,57.55,13.25,China,55.39
Structural engineer,Healthcare,Decreasing,High," $51,009.73 ",Bachelor? Degree,1,8821,8414,77.77,57.67,UK,75.05
"Embryologist, clinical",Healthcare,Increasing,High," $56,589.18 ",Bachelor? Degree,18,7603,9373,22.94,76.18,Canada,37.94
Rural practice surveyor,Entertainment,Decreasing,Low," $92,321.26 ",High School,3,6255,7605,63.01,32.7,Germany,59.19
IT trainer,Healthcare,Increasing,High," $65,535.14 ",High School,11,3353,3315,85.67,32.69,China,67.71
"Therapist, speech and language",Healthcare,Decreasing,Low," $32,579.31 ",High School,1,5281,9162,1.32,87.18,India,62
Retail merchandiser,Education,Decreasing,Low," $94,086.63 ",Associate Degree,5,6138,9078,15.18,18.46,Canada,28.45
Art therapist,Healthcare,Increasing,Moderate," $1,36,311.03 ",Associate Degree,3,4444,4111,41.62,50.11,USA,34.42
Learning disability nurse,Healthcare,Decreasing,Moderate," $31,470.17 ",Master? Degree,3,7005,1317,77.44,16.94,India,51.34
Freight forwarder,Transportation,Decreasing,Low," $38,468.62 ",Master? Degree,8,816,8572,12.59,96.58,Brazil,30.25
Personnel officer,Transportation,Increasing,Low," $89,565.74 ",Associate Degree,1,2954,6905,32.06,31.5,Germany,24.64
Insurance account manager,Finance,Decreasing,Moderate," $88,751.63 ",Associate Degree,12,132,3465,57.47,50.52,Australia,46.06
Facilities manager,Education,Decreasing,Moderate," $93,798.77 ",Associate Degree,18,6655,3606,84.63,59.7,Canada,67.22
"Conservator, furniture",Education,Increasing,Moderate," $90,042.43 ",PhD,10,6188,3378,22.78,45.57,UK,47.18
"Programme researcher, broadcasting/film/video",Transportation,Decreasing,Low," $85,425.31 ",High School,6,7041,6576,0.9,12.39,Germany,42.62
Systems analyst,Finance,Increasing,Low," $60,289.24 ",Master? Degree,17,5493,9515,55.02,81.88,UK,30.61
"Scientist, clinical (histocompatibility and immunogenetics)",Retail,Increasing,Low," $1,02,851.29 ",Master? Degree,3,8693,6605,79.6,82.14,Canada,60.05
Technical sales engineer,Transportation,Decreasing,Low," $51,133.73 ",Bachelor? Degree,5,9951,4420,28.41,25.4,USA,72.23
"Scientist, marine",Entertainment,Increasing,Low," $82,167.48 ",Master? Degree,16,7276,7888,63.11,25.98,Canada,59.29
